28.311, 20.986, 79.808
29.979, 19.885, 79.267
31.766, 18.994, 78.783
33.659, 18.352, 78.791
35.621, 17.977, 79.111
37.615, 17.86, 79.542
39.609, 18.001, 79.764
41.568, 18.396, 79.714
43.457, 19.049, 79.153
45.244, 19.943, 76.859
46.888, 21.077, 73.484
48.34, 22.449, 69.947
49.534, 24.05, 66.223
50.383, 25.856, 62.277
50.79, 27.809, 61.156
50.717, 29.801, 63.806
50.182, 31.722, 69.594
49.269, 33.497, 76.482
48.063, 35.09, 79.746
46.657, 36.51, 85.32
45.106, 37.77, 87.57
43.457, 38.9, 89.481
41.732, 39.912, 91.088
39.927, 40.767, 98.946
38.081, 41.538, 98.802
36.231, 42.296, 98.636
34.374, 43.039, 98.445
32.51, 43.765, 98.225
30.639, 44.471, 97.971
28.76, 45.156, 97.68
26.87, 45.811, 96.967
24.97, 46.434, 96.539
23.056, 47.015, 95.53
21.128, 47.545, 94.353
19.183, 48.01, 93.154
17.219, 48.39, 92.138
15.24, 48.676, 90.463
13.252, 48.892, 87.61
11.27, 49.154, 84.662
9.319, 49.593, 83.284
7.421, 50.221, 80.177
5.569, 50.975, 76.944
4.66, 50.888, 79.539
6.278, 49.712, 95.865
7.946, 48.61, 97.812
9.633, 47.536, 98.054
11.331, 46.479, 95.429
13.038, 45.436, 92.729
14.751, 44.404, 89.948
16.47, 43.381, 87.078
18.195, 42.369, 84.111
19.926, 41.367, 81.035
21.664, 40.378, 77.837
23.411, 39.404, 74.503
25.171, 38.455, 71.012
26.959, 37.56, 67.34
27.449, 37.847, 76.983
25.489, 37.793, 73.678
23.5, 37.98, 73.176
21.547, 38.406, 69.62
19.634, 38.989, 65.871
17.754, 39.67, 61.895
15.895, 40.408, 57.646
14.045, 41.169, 53.057
12.191, 41.917, 48.032
10.313, 42.606, 42.416
8.39, 43.15, 35.935
6.406, 43.35, 28.016
5.435, 42.011, 27.518
5.794, 40.05, 79.172
6.46, 38.165, 90.408
7.251, 36.328, 92.504
8.108, 34.521, 89.716
9.005, 32.734, 86.839
9.927, 30.959, 83.863
10.865, 29.192, 80.778
11.813, 27.431, 77.57
12.766, 25.673, 74.223
13.721, 23.915, 70.718
14.675, 22.158, 67.03
15.626, 20.399, 63.127
16.573, 18.637, 58.967
17.514, 16.872, 54.489
18.447, 15.103, 49.609
19.371, 13.329, 44.193
20.285, 11.551, 38.014
21.189, 9.766, 30.611
22.079, 7.976, 20.714
22.823, 6.459, 0
22.823, 6.459, 0
31.621, -11.502, 0
endData
127
100
200
28.311, 20.986, 42.031, 10.494, 63.661, 28.734, 40.901, 40.356
40.901, 40.356, 12.815, 52.301, 15.559, 46.652, 5.874, 50.849
5.874, 50.849, -3.811, 55.045, 33.476, 32.931, 27.342, 37.935
27.342, 37.935, 20.401, 36.644, 10.313, 44.311, 5.712, 43.262
5.712, 43.262, 3.614, 40.034, 13.622, 25.425, 22.823, 6.459
